Question,Answer,reference,Metadata,Text,意图分类
联交所工作人员违反诚信或收受贿赂会受到哪些处罚？,联交所工作人员如果违反诚信、失职渎职、收受贿赂，侵害当事人合法权益、扰乱市场秩序、损害市场公平，联交所将对其作出相应处理，直至禁止其从业。,第五十三条 联交所的工作人员违反诚信、失职渎职、收受贿赂，侵害当事人合法权益、扰乱市场秩序、损害市场公平的，联交所将对其作出相应处理直至禁止其从业。,"{'title': '【产权交易】上海联合产权交易所交易业务总规程（沪联产交〔2017〕23号）', 'time': '发布时间：2020-11-12', 'infosource': '信息来源：国家'}",第四十八条 联交所建立风险警示、风险控制等市场管理制度，可以对涉嫌违规的交易参与方采取询问、约谈、警告、通报和公开谴责等方式予以警示；必要时可以采取向市场发布风险警示公告等其他必要措施，管理控制市场风险。第四十九条 产权交易过程中出现影响交易活动正常进行的情形时，联交所可以直接作出中止或者终结交易的决定，并予以公告。第五十条 影响交易活动正常进行的中止情形消除后，产权交易继续进行。第五十一条 产权交易过程中产生纠纷，当事人可以协商解决，协商不成，可以向联交所或者第三方调解机构申请调解；还可以根据约定提请仲裁或者直接提起诉讼。第五十二条 产权转让人（增资人）、意向受让人（意向投资人）或者产权受让人（投资人）在交易过程中存在违反承诺或者交易规则、干扰交易秩序等行为的，应当承担相应的法律责任。中介服务机构采取贿赂、串通、欺诈、胁迫等其他违法违规行为干扰产权交易的，应当承当相应的法律责任。第五十三条 联交所的工作人员违反诚信、失职渎职、收受贿赂，侵害当事人合法权益、扰乱市场秩序、损害市场公平的，联交所将对其作出相应处理直至禁止其从业。情节严重，造成当事人经济损失的，还应当依法承担相应的赔偿责任。第五章 附则第五十四条 本规程由联交所负责解释。第五十五条 本规程自发布之日起施行。上海联合产权交易所2017年5月2日,政策知识
转让公告在什么情况下会自行终结？,转让公告在以下两种情况下会自行终结：1. 发布期间产生符合条件的一个或多个意向受让人，公告期满后自行终结；2. 自第一次发布之日起的12个月内仍未征集到符合条件的意向受让人，公告自行终结。,第二十五条 转让公告发布期间产生符合条件的一个或者多个意向受让人，转让公告期满后自行终结。转让公告自第一次发布之日起的12个月内仍未征集到符合条件的意向受让人，转让公告自行终结。,"{'title': '【产权交易】上海联合产权交易所交易业务总规程（沪联产交〔2017〕23号）', 'time': '发布时间：2020-11-12', 'infosource': '信息来源：国家'}",第二十条 产权转让人可以委托联交所或者中介服务机构展示、推介转让标的。第二十一条 转让公告期限原则上不得少于5个工作日。转让公告的起算时点为联交所官方网站发布转让公告的次个工作日。第二十二条 转让公告发布期间，意向受让人可以要求查看转让标的及其相关文件，产权转让人应当在转让公告承诺范围内予以配合并接受意向受让人的咨询。第二十三条 转让公告发布期间，产权转让人不得随意变更或者撤销公告内容。变更或者撤销转让公告应当对已经征集到的意向受让人等其他相关方承担相应责任。第二十四条 转让公告发布期间出现可能影响交易正常进行的情形时，产权转让人可以提出中止发布的书面申请。联交所收到申请后，中止转让公告发布。转让公告发布的中止期限一般不超过20个工作日。中止期限截止后，产权转让人可以选择继续、变更或者终结转让公告发布。选择继续或者变更转让公告内容的，公告期限不应少于原公告期限。第二十五条 转让公告发布期间产生符合条件的一个或者多个意向受让人，转让公告期满后自行终结。转让公告自第一次发布之日起的12个月内仍未征集到符合条件的意向受让人，转让公告自行终结。转让公告发布期间出现导致交易活动无法正常进行的情形且该情形无法消除时，产权转让人可以申请终结转让公告。第三节 登记受让意向第二十六条 意向受让人应当在转让公告有效期内通过联交所提出受让申请。第二十七条 意向受让人的受让申请经联交所审核登记、产权转让人确认后获得交易资格。产权转让人否定意向受让人交易资格的，应当通过联交所以书面形式告知意向受让人。第二十八条 意向受让人应当自行或者委托中介服务机构开展尽职调查工作，产权转让人应当在转让公告承诺范围内予以配合。第二十九条 意向受让人可以对产权转让人否定其受让资格提出异议。异议不影响相关产权交易项目的进行。意向受让人通过诉讼等救济途径证明产权转让人损害其合法权益的，可以要求产权转让人承担相应责任。,政策知识
在什么情况下，联交所可以直接中止或终结产权交易？,在产权交易过程中，如果出现影响交易活动正常进行的情形，联交所可以直接作出中止或者终结交易的决定，并予以公告。,第四十九条 产权交易过程中出现影响交易活动正常进行的情形时，联交所可以直接作出中止或者终结交易的决定，并予以公告。,"{'title': '【产权交易】上海联合产权交易所交易业务总规程（沪联产交〔2017〕23号）', 'time': '发布时间：2020-11-12', 'infosource': '信息来源：国家'}",第四十八条 联交所建立风险警示、风险控制等市场管理制度，可以对涉嫌违规的交易参与方采取询问、约谈、警告、通报和公开谴责等方式予以警示；必要时可以采取向市场发布风险警示公告等其他必要措施，管理控制市场风险。第四十九条 产权交易过程中出现影响交易活动正常进行的情形时，联交所可以直接作出中止或者终结交易的决定，并予以公告。第五十条 影响交易活动正常进行的中止情形消除后，产权交易继续进行。第五十一条 产权交易过程中产生纠纷，当事人可以协商解决，协商不成，可以向联交所或者第三方调解机构申请调解；还可以根据约定提请仲裁或者直接提起诉讼。第五十二条 产权转让人（增资人）、意向受让人（意向投资人）或者产权受让人（投资人）在交易过程中存在违反承诺或者交易规则、干扰交易秩序等行为的，应当承担相应的法律责任。中介服务机构采取贿赂、串通、欺诈、胁迫等其他违法违规行为干扰产权交易的，应当承当相应的法律责任。第五十三条 联交所的工作人员违反诚信、失职渎职、收受贿赂，侵害当事人合法权益、扰乱市场秩序、损害市场公平的，联交所将对其作出相应处理直至禁止其从业。情节严重，造成当事人经济损失的，还应当依法承担相应的赔偿责任。第五章 附则第五十四条 本规程由联交所负责解释。第五十五条 本规程自发布之日起施行。上海联合产权交易所2017年5月2日,政策知识
联交所收到中止申请后，多久内会作出决定？,联交所收到中止申请后，在对申请材料核实完毕之日起5个工作日内会作出交易中止或不予中止的决定。,第六条 联交所在收到中止申请后，在对申请材料核实完毕之日起5个工作日内作出交易中止或不予中止的决定。,"{'title': '【产权交易】上海联合产权交易所有限公司交易中止和终结操作细则（沪联产交〔2018〕50号）', 'time': '发布时间：2020-11-12', 'infosource': '信息来源：国家'}",第五条 申请人提交中止申请，应当提供相关证据和事由说明。申请人应当对提交中止申请的内容及材料的真实性、有效性负责。通过受托机构提交申请的，受托机构应当对申请材料进行核实。第六条 联交所在收到中止申请后，在对申请材料核实完毕之日起5个工作日内作出交易中止或不予中止的决定。作出中止决定的，应当出具中止决定书，确定中止期限，并在联交所网站上予以公告；作出不予中止决定的，联交所应书面通知申请人。第七条 产权交易中止，自中止决定作出之日起执行。中止期限由联交所根据交易项目具体情况确定，一般不超过20个工作日。中止期限届满后中止情形尚未消除的，联交所可以根据申请人的要求延长中止期限。第八条 联交所在中止期限内，可以依据有关规定和调查调解情况，作出要求限期改正、取消受让资格、扣除保证金等书面决定。第九条 产权交易中止后，导致交易活动不能按规定程序正常实施的情形消除后，联交所应当尽快恢复交易，并出具书面意见。交易项目在信息公开期间中止的，恢复交易后的继续信息公告期限不得少于10个工作日，在联交所网站上的累积公告期不得少于20个工作日。交易各方当事人在中止期限届满后仍未能消除致使中止的情形，联交所可以作出产权交易终结的决定。第十条 申请人可以直接向联交所提出终结申请，由联交所作出终结或不予终结的决定。联交所也可以根据下列情形直接作出终结的决定：（一）转让标的因不可抗力毁损、灭失；（二）转让方或标的企业解散、注销的；（三）转让方或受让方无故不推进产权交易进程，经联交所催办仍不作为的；（四）自首次信息披露公告之日起12个月内未征集到合格意向受让方的；（五）国有产权转让过程中，涉嫌侵犯国有资产合法权益，国有资产监督管理机构要求终结的；（六）经确认产权交易活动无法继续实施的其他情形。第十一条 申请人提交终结申请，应当提供相关证据和事由说明。申请人应当对提交终结申请的内容及材料的真实性、有效性负责。,政策知识
如果意向受让方未在规定期限内足额交纳交易保证金，会有什么后果？,如果意向受让方未在公告要求的期限内足额交纳交易保证金，将被视作放弃受让资格，无法继续参与产权转让交易。,第六条 意向受让方应当按照信息披露公告的要求将交易保证金交纳至联交所指定的专用账户。意向受让方未在公告要求的期限内足额交纳交易保证金的，视作放弃受让资格。,"{'title': '【产权交易】上海联合产权交易所有限公司产权交易保证金操作细则(沪联产交〔2020〕29号)', 'time': '发布时间：2020-11-12', 'infosource': '信息来源：国家'}",（2018年制定，2020年6月第一次修订）第一条 为规范在上海联合产权交易所有限公司（以下简称“联交所”）进行的产权转让涉及交易保证金的相关行为，制定本细则。第二条 本细则所称的交易保证金，是指在产权交易过程中，产权交易主体承诺遵守市场规则和交易约定，在发生违规违约行为时作为赔偿相关主体的经济保证。第三条 转让方可以依据本细则在提出产权转让信息正式披露（以下简称“信息披露”）申请时设置交易保证金条款，并公开披露保证金交纳的时点、具体金额、交纳方式、保证事项和处置方法等内容，明确相关当事人的权利义务，承诺在自身发生违规违约行为时，以设定保证金的同等数额承担损害赔偿责任。第四条 联交所对信息披露公告中设置的交易保证金条款进行审核，对保证金进行保管，提供保证金结算等相关服务，并依据本细则及相关约定对保证金进行处置。第五条 交易保证金的设置、处置应当遵循公开、公平及合理、适当的原则。第六条 意向受让方应当按照信息披露公告的要求将交易保证金交纳至联交所指定的专用账户。意向受让方未在公告要求的期限内足额交纳交易保证金的，视作放弃受让资格。第七条 转让方设定的交易保证金金额，一般不超过转让标的转让底价的30％。第八条 交易保证金来源的合法性由交纳主体负责。第九条 交易双方签订《产权交易合同》后，受让方交纳的交易保证金可以根据约定转为交易价款。第十条 联交所应当按照下列情形，在规定时间内将交易保证金原额返还相应的交纳主体。,政策知识
在规定的报价时间段内，竞买人可以提交多少次有效报价？,在规定的报价时间段内，系统对竞买人可提交的有效报价次数不做限制，竞买人可以根据情况多次提交有效报价。,系统对各竞买人在规定的报价时间段内可提交的有效报价次数不做限制。,"{'title': '【产权交易】上海联合产权交易所有限公司产权转让开放式报价操作细则（试行）（沪联产交〔2019〕69号）', 'time': '发布时间：2020-11-12', 'infosource': '信息来源：国家'}",竞买人应当在《竞买文件》中承诺接受《竞价方案》约定的交易条件，并对《竞价方案》提出的实质性要求和条件作出完全响应。竞买人应当对《竞买文件》所述内容和所附材料的真实性、完整性、有效性负责。第七条 竞买人一经获得报价资格，即可在规定时间内进行动态递增报价。系统显示当前最高有效报价金额和所有有效的报价记录。系统对各竞买人在规定的报价时间段内可提交的有效报价次数不做限制。第八条 开放式报价由定时报价期和连续报价期组成。定时报价期起始时间一般为信息披露时间；定时报价期结束时间一般不早于信息披露期满日期次工作日的下午3时；定时报价期结束即进入连续报价期。连续报价期可由多个连续报价周期组成，每个连续报价周期一般不少于90秒钟。连续报价周期内如出现有效报价，则进入新的连续报价周期；在一个连续报价周期内如未出现有效报价，则当前最高有效报价的竞买人即成为受让方，该最高有效报价即为转让标的成交价格。开放式报价期间所有竞买人均未报价的，网络竞价活动终止，各竞买人应当根据《信息披露公告》和《竞价方案》的有关规定承担相应责任。第九条 涉及法定优先购买权权利人行使优先购买权的，产生最高报价的竞买人在当前最高报价的基础上再进行一次报价，产生最终市场价格，该价格即为行权价格。按照有关法律法规、联交所股东优先购买权行权规则和《竞价方案》的有关规定确定受让方。第十条 组织人在网络竞价结束后，依据竞价结果出具《竞价结果通知书》，转让方与受让方按照《竞价方案》的约定签署《产权交易合同》。第三章 附则第十一条 本细则自发布之日起施行。上海联合产权交易所有限公司2019年7月23日,政策知识
如果我在拍卖中未能成交，我的交易保证金什么时候能退还？,根据规定，未能成交的竞买人的交易保证金应当在拍卖结束后的3个工作日内原额返还。,其他竞买人的交易保证金应当在拍卖结束后的3个工作日内原额返还。,"{'title': '【产权交易】上海联合产权交易所有限公司产权转让拍卖实施办法（沪联产交〔2018〕48号）', 'time': '发布时间：2020-11-12', 'infosource': '信息来源：国家'}",代理人参加拍卖的，应当出具竞买人签署的授权委托书和竞买人、代理人的身份证明复印件。授权委托书应载明代理人的姓名或者名称、代理事项、权限和期限。第十四条 拍卖过程中，竞买人一经出价或应价不得撤回，当其他竞买人有更高应价时，其出价或应价即丧失约束力。第十五条 竞买人的最高出价或应价经拍卖师落槌或者以其他公开表示买定的方式确认后，拍卖成交。涉及到未放弃优先购买权的，按照拍卖规则及说明的相关规定执行。第十六条 拍卖机构组织拍卖时，应当制作拍卖笔录，并由拍卖师、记录人签名；拍卖成交的，还应由买受人或其代理人签名。第十七条 拍卖成交后，买受人应当当场与拍卖机构签署拍卖成交确认书，与转让方签订产权交易合同，办理产权转让有关手续。联交所应当对交易合同进行审核。第十八条 拍卖机构应当妥善保管拍卖笔录和其他有关材料，并将拍卖成交确认书交联交所存档。第十九条 交易保证金、交易价款应当按照联交所产权交易资金结算的有关规定，通过联交所指定的账户进行结算。买受人交纳的交易保证金可以转为交易价款。其他竞买人的交易保证金应当在拍卖结束后的3个工作日内原额返还。第二十条 拍卖机构在主持产权交易拍卖过程中，应当接受联交所的指导，遵守拍卖有关的法律法规、产权交易有关规定以及职业规范。转让方、竞买人、买受人、拍卖机构、受托机构在产权交易拍卖活动中发生违法违规行为的，依法承担相应责任。第二十一条 本办法自发布之日起施行。上海联合产权交易所有限公司2018年10月22日,招中标知识
拍卖成交后，我需要做哪些后续手续？,拍卖成交后，买受人需要当场与拍卖机构签署拍卖成交确认书，并与转让方签订产权交易合同，办理相关的产权转让手续。,拍卖成交后，买受人应当当场与拍卖机构签署拍卖成交确认书，与转让方签订产权交易合同，办理产权转让有关手续。,"{'title': '【产权交易】上海联合产权交易所有限公司产权转让拍卖实施办法（沪联产交〔2018〕48号）', 'time': '发布时间：2020-11-12', 'infosource': '信息来源：国家'}",代理人参加拍卖的，应当出具竞买人签署的授权委托书和竞买人、代理人的身份证明复印件。授权委托书应载明代理人的姓名或者名称、代理事项、权限和期限。第十四条 拍卖过程中，竞买人一经出价或应价不得撤回，当其他竞买人有更高应价时，其出价或应价即丧失约束力。第十五条 竞买人的最高出价或应价经拍卖师落槌或者以其他公开表示买定的方式确认后，拍卖成交。涉及到未放弃优先购买权的，按照拍卖规则及说明的相关规定执行。第十六条 拍卖机构组织拍卖时，应当制作拍卖笔录，并由拍卖师、记录人签名；拍卖成交的，还应由买受人或其代理人签名。第十七条 拍卖成交后，买受人应当当场与拍卖机构签署拍卖成交确认书，与转让方签订产权交易合同，办理产权转让有关手续。联交所应当对交易合同进行审核。第十八条 拍卖机构应当妥善保管拍卖笔录和其他有关材料，并将拍卖成交确认书交联交所存档。第十九条 交易保证金、交易价款应当按照联交所产权交易资金结算的有关规定，通过联交所指定的账户进行结算。买受人交纳的交易保证金可以转为交易价款。其他竞买人的交易保证金应当在拍卖结束后的3个工作日内原额返还。第二十条 拍卖机构在主持产权交易拍卖过程中，应当接受联交所的指导，遵守拍卖有关的法律法规、产权交易有关规定以及职业规范。转让方、竞买人、买受人、拍卖机构、受托机构在产权交易拍卖活动中发生违法违规行为的，依法承担相应责任。第二十一条 本办法自发布之日起施行。上海联合产权交易所有限公司2018年10月22日,招中标知识
哪些情况下投标文件会被认定为无效？,投标文件在以下情况下会被认定为无效：1. 未实质响应招标文件约定的受让要求；2. 投标价格低于招标人设置的底价；3. 出现招标文件中约定的其他导致投标文件无效的情形。,第二十四条 发生下列情形时，投标文件无效：（一）投标文件未实质响应招标文件约定的受让要求的；（二）投标价格低于招标人设置的底价的；（三）出现招标文件中约定的投标文件无效的其他情形。,"{'title': '【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）', 'time': '发布时间：2020-11-12', 'infosource': '信息来源：国家'}",第十九条 投标文件所提供的数据和证明材料应当详实、准确，投标人应当对提交的投标文件及其附件材料的真实性、完整性、有效性负责，并对提供不真实数据或作出不诚实陈述所导致的后果承担责任。第二十条 投标文件应当内容齐全、字迹清楚，并按照招标文件要求进行签署、装订、密封，以招标文件规定的时间、地点和方式送达。不符合上述要求的投标文件将被拒收。第二十一条 在递交投标文件截止时间前，投标人可以采取书面方式补充、修改或者撤回已递交的投标文件，补充、修改的内容为投标文件的组成部分。第二十二条 开标应当在招标文件规定的投标文件递交截止时间的同一时间公开进行。开标地点应当为招标文件中预先确定的地点。第二十三条 开标由招标代理机构主持。开标前，应当由投标人或者其推选的代表检查投标文件的密封情况，也可以由招标代理机构委托的公证机构检查并公证；经确认无误后，当众拆封，宣读投标人名称、投标函、投标价格和投标文件的其他主要内容。开标过程应当由招标代理机构当场记录，并存档备查。第二十四条 发生下列情形时，投标文件无效：（一）投标文件未实质响应招标文件约定的受让要求的；（二）投标价格低于招标人设置的底价的；（三）出现招标文件中约定的投标文件无效的其他情形。第二十五条 开标至发出中标结果通知书期间为评标阶段，评标行为应当保密。第二十六条 评标由评标委员会负责。评标委员会由联交所、招标代理机构会同招标人，根据转让标的具体情况，按照公平、公正和专业对口原则，邀请相关领域专家和招标人代表组成，成员为5人以上的单数，其中招标人代表人数不得超过总人数的1/3。评标委员会成员名单在中标结果确定前应当保密。第二十七条 评标委员会成员如与投标人有利害关系的，应当回避。第二十八条 评标委员会在评标过程中应当独立行使评审权，任何单位和个人不得干预、影响评标的过程和结果。,招中标知识
产权转让招投标的一般程序包括哪些步骤？,产权转让招投标的一般程序包括以下步骤：编制招标文件和投标邀请书、报送审查、发出邀请书、标前澄清与答疑、接收投标文件、开标、评标、提出评标报告、确定中标人、报备结果、签订交易合同。这些步骤确保了招投标过程的规范性和透明性。,第八条 招标的一般程序如下：（一）编制招标文件和投标邀请书；（二）招标文件和投标邀请书报送联交所和招标人审查；（三）发出投标邀请书；（四）标前澄清与答疑；（五）接收投标人的投标文件；（六）开标；（七）评标委员会依据评标办法进行评标；（八）评标委员会提出评标报告，推荐中标候选人；（九）招标人确定中标人；（十）评标报告、定标结果报联交所备案；（十一）招标人与中标人签订《产权交易合同》。,"{'title': '【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）', 'time': '发布时间：2020-11-12', 'infosource': '信息来源：国家'}",第一条 为规范在上海联合产权交易所有限公司（以下简称“联交所”）进行的产权转让中的招投标行为，制定本办法。第二条 联交所采取招投标方式组织实施的产权转让，适用本办法。第三条 产权转让招投标活动应当遵循有关法律法规和公开、公平、公正、诚信、择优的原则。第四条 本办法所称的招标人是指产权转让方。本办法所称的投标人，是指产权转让信息正式披露（以下简称“信息披露”）期间提出受让申请并获得资格确认，参加投标竞争产权的意向受让方。本办法所称的招标代理机构，是指经联交所认可，专业从事招标代理活动的中介服务机构。以上主体应当遵守产权交易市场的规则。第五条 联交所是招投标活动的组织方，负责招投标活动的组织、协调、监督和指导。产权转让招投标活动可以由招标代理机构具体实施。第六条 选择招投标方式确定受让方的，需在信息披露公告中予以明确。第七条 转让方应当与招标代理机构签订委托合同并在信息披露公告中披露招标代理机构的名称及联系方式。具备产权交易会员身份的招标代理机构可同时从事招标代理和产权经纪事项。委托合同一般包括以下内容：（一）招标人及招标代理机构的名称、住所；（二）招标标的基本情况；（三）招标实施时间、地点；（四）招标的佣金比例及支付方式、期限；（五）违约责任；（六）约定的其他事项。第八条 招标的一般程序如下：（一）编制招标文件和投标邀请书；（二）招标文件和投标邀请书报送联交所和招标人审查；（三）发出投标邀请书；（四）标前澄清与答疑；（五）接收投标人的投标文件；（六）开标；（七）评标委员会依据评标办法进行评标；（八）评标委员会提出评标报告，推荐中标候选人；（九）招标人确定中标人；（十）评标报告、定标结果报联交所备案；（十一）招标人与中标人签订《产权交易合同》。,招中标知识
