Question,Title,Bodys,Intent_Classific
采购人在收到供应商的质疑函后，应在多长时间内作出答复？,政府采购质疑和投诉办法,采购人，质疑函，答复,政策文件信息
哪些工程项目必须进行公开招标？,房屋建筑和市政基础设施工程施工招标投标管理办法,工程项目，公开招标,政策文件信息
未列入预算的政府购买服务项目能否实施？,政府购买服务管理办法,未列入预算，政府购买服务项目，能否实施,政策文件信息
采购人或者采购代理机构可以要求供应商以什么形式交纳保证金？,政府采购非招标采购方式管理办法,采购人，采购代理机构，要求，供应商，形式，交纳，保证金,政策文件信息
交易所需要履行哪些职责来确保碳排放交易的顺利进行？,上海市碳排放管理试行办法,交易所，履行职责，确保碳排放交易，顺利进行,政策文件信息
增资人可以委托哪些机构提供增资活动的相关服务？这些机构需要出具什么报告？,【产权交易】企业增资业务规则（试行）,增资人，委托，机构，提供，增资活动，相关服务，报告,政策文件信息
供应商申请入库时，财政部门是否可以收取费用？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,供应商申请入库，财政部门，费用,政策文件信息
如果投标截止后，只有两家供应商提交了投标文件，是否可以进行开标？,政府采购货物和服务招标投标管理办法,投标截止，两家供应商，提交，投标文件，开标,政策文件信息
在什么情况下，采购人需要获得财政部门核准后才能采购进口产品？,财政部关于印发《政府采购进口产品管理办法》的通知,采购人，财政部门，核准，进口产品,政策文件信息
若发现有人非法干预政府采购评审过程，应如何处理？,政府采购非招标采购方式管理办法,非法干预，政府采购评审过程，处理,政策文件信息
如果对单一来源采购方式的公示有异议，应该如何处理？,政府采购非招标采购方式管理办法,单一来源采购方式，公示，异议，处理,政策文件信息
中标通知书发出后，采购人应在多长时间内与中标人签订合同？,政府采购货物和服务招标投标管理办法,中标通知书，发出，采购人，时间，签订合同,政策文件信息
如果在投标有效期内撤销投标文件，投标保证金会被退还吗？,政府采购货物和服务招标投标管理办法,投标有效期内，撤销投标文件，投标保证金，退还,政策文件信息
供应商委托代理人进行质疑和投诉时，授权委托书需要包含哪些内容？,政府采购质疑和投诉办法,供应商委托代理人，质疑和投诉，授权委托书，内容,政策文件信息
评标过程中，采购人应如何确保评标的保密性？,政府采购货物和服务招标投标管理办法,评标过程，采购人，确保评标的保密性,政策文件信息
如果谈判文件无法详细列明技术和服务要求，谈判结束后如何确定提交最后报价的供应商？,政府采购非招标采购方式管理办法,谈判文件，详细列明技术和服务要求，谈判结束，确定提交最后报价的供应商,政策文件信息
采购人及采购代理机构获取的信用信息可以用于哪些范围？,财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,采购人及采购代理机构，信用信息，范围,政策文件信息
什么是国家核证自愿减排量，其认定标准是什么？,上海市碳排放管理试行办法,国家核证自愿减排量，认定标准,政策文件信息
财政部门在制定资产配置标准时，需要考虑哪些因素？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,财政部门，资产配置标准，考虑因素,政策文件信息
哪些企业被认定为国有及国有控股企业或国有实际控制企业？,企业国有资产交易监督管理办法,国有企业，认定，企业,政策文件信息
评标专家库中的专家是否需要接受年度考核？,评标专家和评标专家库管理暂行办法,评标专家库，专家，年度考核,政策文件信息
投诉人针对废标行为的投诉如果成立，财政部门会如何处理？,政府采购质疑和投诉办法,投诉人，废标行为，财政部门，处理,政策文件信息
未成交供应商的保证金应在何时退还？,政府采购非招标采购方式管理办法,未成交供应商，保证金，退还,政策文件信息
电子招标投标平台是否可以限制某些市场主体获取招标信息？,电子招标投标办法,电子招标投标平台，限制，市场主体，获取，招标信息,政策文件信息
招标人泄露潜在投标人信息或标底，会面临哪些法律责任？,工程建设项目施工招标投标办法,招标人，泄露，潜在投标人信息或标底，法律责任,政策文件信息
产权交易凭证上需要包含哪些具体信息？,【产权交易】上海联合产权交易所有限公司企业国有产权转让出具交易凭证操作细则（沪联产交〔2018〕45号）,产权交易凭证，具体信息,政策文件信息
如果发现投标人有恶意串通行为，评标委员会应如何处理？,政府采购货物和服务招标投标管理办法,投标人，恶意串通行为，评标委员会，处理,政策文件信息
采购人向财政部门申请采购进口产品时，需要提交哪些材料？,财政部关于印发《政府采购进口产品管理办法》的通知,采购人，财政部门，进口产品，材料,政策文件信息
如何通过资产管理与预算管理相结合来提高资产使用效率？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,资产管理，预算管理，提高资产使用效率,政策文件信息
行政事业单位所属企业的国有资本应如何管理？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,行政事业单位所属企业，国有资本，管理,政策文件信息
申请单位收到交易所通知后，需要在多长时间内完成相关手续？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,申请单位，交易所，相关手续,政策文件信息
在什么情况下，工程项目可以不进行施工招标？,房屋建筑和市政基础设施工程施工招标投标管理办法,工程项目，施工招标,政策文件信息
交易中心在公开服务、交易等信息时，有哪些信息是不可以公开的？,上海市公共资源交易管理办法,交易中心，公开服务，交易，信息，不可以公开,政策文件信息
新建房屋的地下停车库是否可以单独转让？,上海市房地产转让办法,新建房屋，地下停车库，单独转让,政策文件信息
国有独资企业、国有独资公司企业负责人的薪酬和奖惩如何确定？,企业国有资产监督管理暂行条例,国有独资企业，国有独资公司，企业负责人，薪酬，奖惩,政策文件信息
增资人在增资信息公告期满后，需要在多长时间内提交意向投资人的资格确认意见？,【产权交易】企业增资业务规则（试行）,增资信息公告期满后，提交意向投资人的资格确认意见,政策文件信息
供应商、采购代理机构和评审专家的违法失信行为记录公告需要包含哪些信息？,财政部关于做好政府采购信息公开工作的通知,供应商，采购代理机构，评审专家，违法失信行为记录公告，信息,政策文件信息
如果鉴定结论与委托拍卖合同不符，拍卖人可以采取什么措施？,中华人民共和国拍卖法,鉴定结论，委托拍卖合同，拍卖人，措施,政策文件信息
在最低评标价法中，若多家投标人提供相同品牌产品且报价相同，如何确定参加评标的投标人？,政府采购货物和服务招标投标管理办法,最低评标价法，多家投标人，提供相同品牌产品，报价相同，确定参加评标的投标人,政策文件信息
金融企业国有资产转让的主要目的是什么？,金融企业国有资产转让管理办法,金融企业国有资产转让，主要目的,政策文件信息
采购国家限制进口的重大科学仪器和装备时，需要哪些部门的批准？,财政部关于印发《政府采购进口产品管理办法》的通知,采购国家限制进口的重大科学仪器和装备，需要批准，部门,政策文件信息
买受人不按时支付拍卖价款会有什么法律责任？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,买受人，按时支付拍卖价款，法律责任,政策文件信息
磋商保证金的交纳形式和金额有何具体规定？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,磋商保证金，交纳形式，金额,政策文件信息
运营机构在区域性股权市场风险管理方面需要承担哪些职责？,区域性股权市场监督管理试行办法,运营机构，区域性股权市场，风险管理，职责,政策文件信息
哪些特殊情况下可以不进行施工招标？,房屋建筑和市政基础设施工程施工招标投标管理办法,特殊情况下，不进行施工招标,政策文件信息
政府采购合同签订后，多久内需要公告？,财政部关于做好政府采购信息公开工作的通知,政府采购合同，签订后，公告,政策文件信息
如果投标报价超过了招标文件规定的最高限价，投标会被判定为无效吗？,政府采购货物和服务招标投标管理办法,投标报价，最高限价，无效,政策文件信息
本市公共资源交易是如何实现规范和透明的？,上海市公共资源交易管理办法,本市公共资源交易，规范和透明,政策文件信息
市发展改革部门如何管理碳排放核查的第三方机构？,上海市碳排放管理试行办法,市发展改革部门，管理，碳排放核查，第三方机构,政策文件信息
《增资专项报告》中需要详细说明哪些尽职调查的具体内容？,【产权交易】企业增资业务受托机构工作指引（试行）,《增资专项报告》，尽职调查的具体内容,政策文件信息
交易所需要公开哪些碳排放交易信息？,上海市碳排放管理试行办法,交易所，碳排放交易信息,政策文件信息
谈判过程中，谈判小组能否对采购需求中的技术、服务要求及合同草案条款进行实质性变动？,政府采购非招标采购方式管理办法,谈判小组，采购需求，技术，服务要求，合同草案条款，实质性变动,政策文件信息
在编制资产配置预算时，如何确保标准的科学性和合理性？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,资产配置预算，科学性，合理性,政策文件信息
国有企业在进行增资时，是否所有增资行为都属于企业国有资产交易？,企业国有资产交易监督管理办法,国有企业，增资，企业国有资产交易,政策文件信息
招标人确定中标人后，应如何通知中标人和未中标人？,电子招标投标办法,招标人，确定中标人，通知中标人，未中标人,政策文件信息
采购货物时，除了竞争性谈判和单一来源采购，还可以采用哪种非招标采购方式？,政府采购非招标采购方式管理办法,采购货物，非招标采购方式,政策文件信息
公共资源拍卖平台必须具备哪些功能和设施？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,公共资源拍卖平台，功能和设施,政策文件信息
政府采购合同中哪些信息不能作为商业秘密？,财政部关于做好政府采购信息公开工作的通知,政府采购合同，信息，商业秘密,政策文件信息
非纸质形式的工作底稿应如何保存？,【产权交易】企业增资业务受托机构工作指引（试行）,非纸质形式，工作底稿，保存,日常问题
