问题,提取的实体,问题分类,意图分类
【综合采购】上海市公共资源交易中心综合采购专家库管理实施规则(试行)的发布时间是什么？,综合采购，上海市公共资源交易中心，综合采购专家库管理实施规则(试行)，发布时间,政策文件信息,政策文件信息
【综合采购】上海市公共资源交易中心综合采购专家库管理实施规则(试行)的信息来源是哪里？,综合采购，上海市公共资源交易中心，综合采购专家库管理实施规则(试行)，信息来源,政策文件信息,政策文件信息
在招投标工作期间，工作人员有哪些行为是被禁止的？,在招投标工作期间，工作人员，行为，禁止,政策文件信息,政策文件信息
保险公司股权管理办法(2018)发布于那一年？,保险公司股权管理办法，发布时间,政策文件信息,政策文件信息
怎么和陌生人开启话题？,开启话题,日常问题,日常问题
如果会员违反了配额最大持有量限制制度，交易所会采取哪些措施？,会员，配额最大持有量限制制度，交易所，措施,政策文件信息,政策文件信息
《财政部关于促进政府采购公平竞争优化营商环境的通知》的信息来源是哪里？,《财政部关于促进政府采购公平竞争优化营商环境的通知》，信息来源,政策文件信息,政策文件信息
【产权交易】上海联合产权交易所有限公司企业非公开协议增资操作流程（沪联产交〔2019〕77号）的信息来源是哪里？,产权交易，上海联合产权交易所，企业非公开协议增资操作流程，沪联产交〔2019〕77号，信息来源,政策文件信息,政策文件信息
医院一代测序仪属于什么类型的商品？,医院一代测序仪，类型，商品,商品数据,商品数据
今天天气怎么样？,天气,日常问题,日常问题
你能给我推荐一本好书吗？,好书,日常问题,日常问题
流式细胞仪项目的中标金额最低是多少？,流式细胞仪项目，中标金额最低,日常问题,招标中标信息
徐汇区天平街道社区卫生服务中心物业管理服务的中标金额是多少？ ,徐汇区天平街道社区卫生服务中心物业管理服务，中标金额,招标中标信息,招标中标信息
《财政部、民政部、中国残疾人联合会关于促进残疾人就业政府采购政策的通知》发布的具体时间是什么时候？,《财政部、民政部、中国残疾人联合会关于促进残疾人就业政府采购政策的通知》，发布时间,政策文件信息,政策文件信息
在招投标过程中，是否允许任何人以指定、授意、暗示等方式干预投标人自主选择保函出具机构？,招投标过程，干预投标人自主选择保函出具机构,政策文件信息,政策文件信息
高清腹腔镜系统都有哪些供应商？,高清腹腔镜系统，供应商,商品数据,商品数据
财政部门在建立健全行政事业资产管理机构方面有哪些具体要求？,财政部门，建立健全行政事业资产管理机构，具体要求,政策文件信息,政策文件信息
CT机的品牌有哪些？,CT机，品牌,商品数据,商品数据
