Question,True_Title,Recalling,Recall_Weight
采购人在收到供应商的质疑函后，应在多长时间内作出答复？,政府采购质疑和投诉办法,1,1
哪些工程项目必须进行公开招标？,房屋建筑和市政基础设施工程施工招标投标管理办法,1,2
未列入预算的政府购买服务项目能否实施？,政府购买服务管理办法,1,1
采购人或者采购代理机构可以要求供应商以什么形式交纳保证金？,政府采购非招标采购方式管理办法,1,1
交易所需要履行哪些职责来确保碳排放交易的顺利进行？,上海市碳排放管理试行办法,1,8
增资人可以委托哪些机构提供增资活动的相关服务？这些机构需要出具什么报告？,【产权交易】企业增资业务规则（试行）,1,1
供应商申请入库时，财政部门是否可以收取费用？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,0,
如果投标截止后，只有两家供应商提交了投标文件，是否可以进行开标？,政府采购货物和服务招标投标管理办法,1,3
在什么情况下，采购人需要获得财政部门核准后才能采购进口产品？,财政部关于印发《政府采购进口产品管理办法》的通知,1,1
若发现有人非法干预政府采购评审过程，应如何处理？,政府采购非招标采购方式管理办法,1,1
如果对单一来源采购方式的公示有异议，应该如何处理？,政府采购非招标采购方式管理办法,1,1
中标通知书发出后，采购人应在多长时间内与中标人签订合同？,政府采购货物和服务招标投标管理办法,1,1
如果在投标有效期内撤销投标文件，投标保证金会被退还吗？,政府采购货物和服务招标投标管理办法,1,2
供应商委托代理人进行质疑和投诉时，授权委托书需要包含哪些内容？,政府采购质疑和投诉办法,1,1
评标过程中，采购人应如何确保评标的保密性？,政府采购货物和服务招标投标管理办法,1,1
如果谈判文件无法详细列明技术和服务要求，谈判结束后如何确定提交最后报价的供应商？,政府采购非招标采购方式管理办法,1,1
采购人及采购代理机构获取的信用信息可以用于哪些范围？,财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,1,1
什么是国家核证自愿减排量，其认定标准是什么？,上海市碳排放管理试行办法,1,1
财政部门在制定资产配置标准时，需要考虑哪些因素？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,3
哪些企业被认定为国有及国有控股企业或国有实际控制企业？,企业国有资产交易监督管理办法,1,2
评标专家库中的专家是否需要接受年度考核？,评标专家和评标专家库管理暂行办法,1,3
投诉人针对废标行为的投诉如果成立，财政部门会如何处理？,政府采购质疑和投诉办法,1,1
未成交供应商的保证金应在何时退还？,政府采购非招标采购方式管理办法,1,2
电子招标投标平台是否可以限制某些市场主体获取招标信息？,电子招标投标办法,1,2
招标人泄露潜在投标人信息或标底，会面临哪些法律责任？,工程建设项目施工招标投标办法,1,2
产权交易凭证上需要包含哪些具体信息？,【产权交易】上海联合产权交易所有限公司企业国有产权转让出具交易凭证操作细则（沪联产交〔2018〕45号）,1,1
如果发现投标人有恶意串通行为，评标委员会应如何处理？,政府采购货物和服务招标投标管理办法,1,4
采购人向财政部门申请采购进口产品时，需要提交哪些材料？,财政部关于印发《政府采购进口产品管理办法》的通知,1,1
如何通过资产管理与预算管理相结合来提高资产使用效率？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
行政事业单位所属企业的国有资本应如何管理？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,1,1
申请单位收到交易所通知后，需要在多长时间内完成相关手续？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,1,1
在什么情况下，工程项目可以不进行施工招标？,房屋建筑和市政基础设施工程施工招标投标管理办法,1,1
交易中心在公开服务、交易等信息时，有哪些信息是不可以公开的？,上海市公共资源交易管理办法,0,
新建房屋的地下停车库是否可以单独转让？,上海市房地产转让办法,1,2
国有独资企业、国有独资公司企业负责人的薪酬和奖惩如何确定？,企业国有资产监督管理暂行条例,1,1
增资人在增资信息公告期满后，需要在多长时间内提交意向投资人的资格确认意见？,【产权交易】企业增资业务规则（试行）,1,1
供应商、采购代理机构和评审专家的违法失信行为记录公告需要包含哪些信息？,财政部关于做好政府采购信息公开工作的通知,1,1
如果鉴定结论与委托拍卖合同不符，拍卖人可以采取什么措施？,中华人民共和国拍卖法,1,2
在最低评标价法中，若多家投标人提供相同品牌产品且报价相同，如何确定参加评标的投标人？,政府采购货物和服务招标投标管理办法,1,2
金融企业国有资产转让的主要目的是什么？,金融企业国有资产转让管理办法,1,1
采购国家限制进口的重大科学仪器和装备时，需要哪些部门的批准？,财政部关于印发《政府采购进口产品管理办法》的通知,1,1
买受人不按时支付拍卖价款会有什么法律责任？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,0,
磋商保证金的交纳形式和金额有何具体规定？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,1,1
运营机构在区域性股权市场风险管理方面需要承担哪些职责？,区域性股权市场监督管理试行办法,1,1
哪些特殊情况下可以不进行施工招标？,房屋建筑和市政基础设施工程施工招标投标管理办法,1,1
政府采购合同签订后，多久内需要公告？,财政部关于做好政府采购信息公开工作的通知,1,1
如果投标报价超过了招标文件规定的最高限价，投标会被判定为无效吗？,政府采购货物和服务招标投标管理办法,1,2
本市公共资源交易是如何实现规范和透明的？,上海市公共资源交易管理办法,1,1
市发展改革部门如何管理碳排放核查的第三方机构？,上海市碳排放管理试行办法,1,1
《增资专项报告》中需要详细说明哪些尽职调查的具体内容？,【产权交易】企业增资业务受托机构工作指引（试行）,1,1
交易所需要公开哪些碳排放交易信息？,上海市碳排放管理试行办法,1,5
